IWO,9.5600005E9
CETV,Central European Media Enterprises Ltd,0.02
MCRN,MILACRON HOLDINGS CORP,0.02
DHX,DHI Group Inc,0.02
QHC,QUORUM HEALTH CORP,0.02
GOLF,ACUSHNET HOLDINGS CORP,0.02
CCMP,Cabot Microelectronics Corp,0.02
UIHC,United Insurance Holdings Corp,0.02
MPG,Metaldyne Performance Group Inc,0.02
OMED,OncoMed Pharmaceuticals Inc,0.02
DVAX,Dynavax Technologies Corp,0.02
MLI,Mueller Industries Inc,0.02
LMNR,Limoneira Co,0.02
TLRD,TAILORED BRANDS INC,0.02
OPB,Opus Bank,0.02
NOVT,NOVANTA INC,0.02
MNTA,Momenta Pharmaceuticals Inc,0.02
IRTC,IRHYTHM TECHNOLOGIES INC,0.02
SGRY,SURGERY PARTNERS INC,0.02
ANGI,Angie's List Inc,0.02
TRNC,TRONC INC,0.02
WGL,WGL Holdings Inc,0.02
UTMD,Utah Medical Products Inc,0.02
FINL,Finish Line Inc,0.02
SMCI,Super Micro Computer Inc,0.02
EXA,Exa Corp,0.02
BL,BLACKLINE INC,0.02
TRUP,Trupanion Inc,0.02
HABT,Habit Restaurants Inc,0.02
PRGS,Progress Software Corp,0.02
NHTC,Natural Health Trends Corp,0.02
ILG,ILG INC,0.02
MOG.A,Moog Inc,0.02
MOBL,MobileIron Inc,0.02
EHTH,eHealth Inc,0.02
RDNT,RadNet Inc,0.02
CLFD,Clearfield Inc,0.02
EPM,Evolution Petroleum Corp,0.02
PSTB,Park Sterling Corp,0.02
AVXL,ANAVEX LIFE SCIENCES CORP,0.02
UNF,UniFirst Corp/MA,0.02
BLCM,Bellicum Pharmaceuticals Inc,0.02
AIN,Albany International Corp,0.02
NVEE,NV5 Holdings Inc,0.02
NVEC,NVE Corp,0.02
BOJA,Bojangles' Inc,0.02
SN,Sanchez Energy Corp,0.02
NATH,Nathan's Famous Inc,0.02
CTO,Consolidated-Tomoka Land Co,0.02
ATKR,ATKORE INTERNATIONAL GROUP INC,0.02
CFMS,ConforMIS Inc,0.02
APPF,Appfolio Inc,0.02
MKSI,MKS Instruments Inc,0.02
GORO,Gold Resource Corp,0.02
TRTN,TRITON INTERNATIONAL LTD,0.02
SFS,Smart & Final Stores Inc,0.02
OCUL,Ocular Therapeutix Inc,0.02
ACIA,ACACIA COMMUNICATIONS INC,0.02
CHGG,Chegg Inc,0.02
XTLY,Xactly Corp,0.02
NJR,New Jersey Resources Corp,0.02
COLL,Collegium Pharmaceutical Inc,0.02
XBIT,XBiotech Inc,0.02
AMSWA,American Software Inc/GA,0.02
AXGN,AxoGen Inc,0.02
ENZ,Enzo Biochem Inc,0.02
OMI,Owens & Minor Inc,0.02
WIFI,Boingo Wireless Inc,0.02
CIO,City Office REIT Inc,0.02
FARM,Farmer Bros Co,0.02
NSM,Nationstar Mortgage Holdings Inc,0.02
ZIXI,Zix Corp,0.02
CIVI,Civitas Solutions Inc,0.02
WINA,Winmark Corp,0.02
FPRX,Five Prime Therapeutics Inc,0.02
WMIH,WMIH CORP,0.02
BCOV,Brightcove Inc,0.02
AGEN,Agenus Inc,0.02
AQMS,AQUA METALS INC,0.02
CHEF,Chefs' Warehouse Inc,0.02
JIVE,Jive Software Inc,0.02
GDOT,Green Dot Corp,0.02
SCMP,Sucampo Pharmaceuticals Inc,0.02
FRPT,Freshpet Inc,0.02
RMTI,Rockwell Medical Inc,0.02
INSY,Insys Therapeutics Inc,0.02
AMAG,AMAG Pharmaceuticals Inc,0.02
CUTR,Cutera Inc,0.02
MACK,Merrimack Pharmaceuticals Inc,0.02
BETR,AMPLIFY SNACK BRANDS INC,0.02
LQ,La Quinta Holdings Inc,0.02
INST,INSTRUCTURE INC,0.02
BLD,TopBuild Corp,0.02
CLCT,Collectors Universe Inc,0.01
RETA,REATA PHARMACEUTICALS INC CLASS A,0.01
PARR,PAR PACIFIC HOLDINGS INC,0.01
TPC,Tutor Perini Corp,0.01
KMG,KMG Chemicals Inc,0.01
DLTH,DULUTH HOLDINGS INC CLASS B,0.01
MYOK,MYOKARDIA INC,0.01
BKE,Buckle Inc,0.01
TREC,Trecora Resources,0.01
MEET,MeetMe Inc,0.01
MNOV,MediciNova Inc,0.01
SRCI,SRC ENERGY INC,0.01
MITK,Mitek Systems Inc,0.01
PCYG,Park City Group Inc,0.01
IDRA,Idera Pharmaceuticals Inc,0.01
ARRY,Array BioPharma Inc,0.01
MNR,Monmouth Real Estate Investment Corp,0.01
HY,Hyster-Yale Materials Handling Inc,0.01
TRVN,Trevena Inc,0.01
ACOR,Acorda Therapeutics Inc,0.01
AMRI,Albany Molecular Research Inc,0.01
KODK,Eastman Kodak Co,0.01
EDIT,EDITAS MEDICINE INC,0.01
PRTY,Party City Holdco Inc,0.01
PETX,Aratana Therapeutics Inc,0.01
CEMP,Cempra Inc,0.01
CCXI,ChemoCentryx Inc,0.01
MCRB,Seres Therapeutics Inc,0.01
KTWO,K2M Group Holdings Inc,0.01
MEDP,MEDPACE HOLDINGS INC,0.01
CRCM,Care.com Inc,0.01
NERV,Minerva Neurosciences Inc,0.01
ALG,Alamo Group Inc,0.01
WDR,Waddell & Reed Financial Inc,0.01
WVE,WAVE LIFE SCIENCES LTD,0.01
DJCO,Daily Journal Corp,0.01
RXDX,Ignyta Inc,0.01
FCN,FTI Consulting Inc,0.01
PLPM,Planet Payment Inc,0.01
GNMX,AEVI GENOMIC MEDICINE INC,0.01
JBSS,John B Sanfilippo & Son Inc,0.01
COUP,Coupons.com Inc,0.01
STS,Supreme Industries Inc,0.01
BSET,Bassett Furniture Industries Inc,0.01
WSTC,West Corp,0.01
SCL,Stepan Co,0.01
PHX,Panhandle Oil and Gas Inc,0.01
SPPI,Spectrum Pharmaceuticals Inc,0.01
VCYT,Veracyte Inc,0.01
ADMS,Adamas Pharmaceuticals Inc,0.01
RARX,RA PHARMACEUTICALS INC,0.01
WAIR,Wesco Aircraft Holdings Inc,0.01
INFI,Infinity Pharmaceuticals Inc,0.01
FARO,FARO Technologies Inc,0.01
SREV,ServiceSource International Inc,0.01
GCO,Genesco Inc,0.01
MRCY,Mercury Systems Inc,0.01
FC,Franklin Covey Co,0.01
BNCN,BNC Bancorp,0.01
CDXS,Codexis Inc,0.01
EBSB,Meridian Bancorp Inc,0.01
GUID,Guidance Software Inc,0.01
SGC,Superior Uniform Group Inc,0.01
CSLT,Castlight Health Inc,0.01
FLDM,Fluidigm Corp,0.01
UNB,Union Bankshares Inc/Morrisville VT,0.01
MDCA,MDC Partners Inc,0.01
SPKE,Spark Energy Inc,0.01
VAC,Marriott Vacations Worldwide Corp,0.01
ARWR,Arrowhead Research Corp,0.01
IESC,Integrated Electrical Services Inc,0.01
VG,Vonage Holdings Corp,0.01
BCOR,Blucora Inc,0.01
IDT,IDT Corp,0.01
LIND,LINDBLAD EXPEDITIONS HOLDINGS INC,0.01
AFAM,Almost Family Inc,0.01
RSYS,Radisys Corp,0.01
USAT,USA Technologies Inc,0.01
NRCIA,National Research Corp,0.01
ARA,AMERICAN RENAL ASSOCIATES HOLDINGS,0.01
VRA,Vera Bradley Inc,0.01
FFWM,First Foundation Inc,0.01
RRGB,Red Robin Gourmet Burgers Inc,0.01
PLUG,Plug Power Inc,0.01
CTWS,Connecticut Water Service Inc,0.01
MNKD,MannKind Corp,0.01
RST,Rosetta Stone Inc,0.01
ENOC,EnerNOC Inc,0.01
MHLD,Maiden Holdings Ltd,0.01
AMBR,Amber Road Inc,0.01
KS,KapStone Paper and Packaging Corp,0.01
NEOS,Neos Therapeutics Inc,0.01
JMBA,Jamba Inc,0.01
AMOT,Allied Motion Technologies Inc,0.01
CPK,Chesapeake Utilities Corp,0.01
NVIV,InVivo Therapeutics Holdings Corp,0.01
OFLX,Omega Flex Inc,0.01
LAWS,Lawson Products Inc/DE,0.01
HURN,Huron Consulting Group Inc,0.01
DECK,Deckers Outdoor Corp,0.01
DRRX,Durect Corp,0.01
PFNX,PFENEX INC,0.01
FBIO,Fortress Biotech Inc,0.01
MCFT,MCBC Holdings Inc,0.01
KAI,Kadant Inc,0.01
AVID,Avid Technology Inc,0.01
HIFS,Hingham Institution for Savings,0.01
IRIX,IRIDEX Corp,0.01
EVBG,EVERBRIDGE INC,0.01
CRD.B,Crawford & Co,0.01
ENTL,Entellus Medical Inc,0.01
ATSG,Air Transport Services Group Inc,0.01
AXAS,Abraxas Petroleum Corp,0.01
PZN,Pzena Investment Management Inc,0.01
FDP,Fresh Del Monte Produce Inc,0.01
MHO,M/I Homes Inc,0.01
KAMN,Kaman Corp,0.01
MPX,Marine Products Corp,0.01
MRT,MEDEQUITIES REALTY INC TRUST,0.01
TPH,TRI Pointe Group Inc,0.01
REIS,Reis Inc,0.01
CATO,Cato Corp,0.01
FSB,Franklin Financial Network Inc,0.01
PI,IMPINJ INC,0.01
NEWM,New Media Investment Group Inc,0.01
SAMG,Silvercrest Asset Management Group Inc,0.01
UMH,UMH Properties Inc,0.01
CNCE,Concert Pharmaceuticals Inc,0.01
SPWH,Sportsman's Warehouse Holdings Inc,0.01
RLGT,Radiant Logistics Inc,0.01
ICBK,County Bancorp Inc,0.01
VHC,VirnetX Holding Corp,0.01
OPHT,Ophthotech Corp,0.01
MYOV,MYOVANT SCIENCES LTD,0.01
ACRX,AcelRx Pharmaceuticals Inc,0.01
NSA,National Storage Affiliates Trust,0.01
ELF,ELF BEAUTY INC,0.01
VTL,Vital Therapies Inc,0.01
PFSW,PFSweb Inc,0.01
SEM,Select Medical Holdings Corp,0.01
HIVE,Aerohive Networks Inc,0.01
SRNE,Sorrento Therapeutics Inc,0.01
MTH,Meritage Homes Corp,0.01
VBTX,Veritex Holdings Inc,0.01
REV,Revlon Inc,0.01
PTI,PROTEOSTASIS THERAPEUTICS INC,0.01
AGTC,Applied Genetic Technologies Corp/DE,0.01
AKBA,Akebia Therapeutics Inc,0.01
SNAK,Inventure Foods Inc,0.01
III,Information Services Group Inc,0.01
PIR,Pier 1 Imports Inc,0.01
RELY,Real Industry Inc,0.01
FWONA,LIBERTY MEDIA FORMULA ONE CORP SER,0.01
LFVN,Lifevantage Corp,0.0
UFAB,UNIQUE FABRICATING INC,0.0
BPTH,Bio-Path Holdings Inc,0.0
TBI,TrueBlue Inc,0.0
ARDX,Ardelyx Inc,0.0
FBNK,First Connecticut Bancorp Inc/Farmington CT,0.0
FLWS,1-800-Flowers.com Inc,0.0
AST,Asterias Biotherapeutics Inc,0.0
BOLD,AUDENTES THERAPEUTICS INC,0.0
DXLG,Destination XL Group Inc,0.0
GWRS,GLOBAL WATER RESOURCES INC,0.0
LPCN,Lipocine Inc,0.0
ALJJ,ALJ REGIONAL INC,0.0
TTNP,TITAN PHARMACEUTICALS INC,0.0
AFH,Atlas Financial Holdings Inc,0.0
APTI,APPTIO INC,0.0
BREW,Craft Brew Alliance Inc,0.0
COBZ,CoBiz Financial Inc,0.0
CFNL,Cardinal Financial Corp,0.0
HIL,Hill International Inc,0.0
QTNA,QUANTENNA COMMUNICATIONS INC,0.0
TCMD,TACTILE SYSTEMS TECHNOLOGY INC,0.0
ROIAK,Radio One Inc,0.0
HT,Hersha Hospitality Trust,0.0
NX,Quanex Building Products Corp,0.0
RDI,Reading International Inc,0.0
TPRE,Third Point Reinsurance Ltd,0.0
TTD,THE TRADE DESK INC,0.0
VYGR,VOYAGER THERAPEUTICS INC,0.0
KPTI,Karyopharm Therapeutics Inc,0.0
GMRE,GLOBAL MEDICAL REIT INC,0.0
AVHI,AV Homes Inc,0.0
NEFF,Neff Corp,0.0
AMKR,Amkor Technology Inc,0.0
WAAS,AQUAVENTURE HOLDINGS LTD,0.0
GCAP,GAIN Capital Holdings Inc,0.0
CYTR,CytRx Corp,0.0
GEN,Genesis Healthcare Inc,0.0
SENS,SENSEONICS HOLDINGS INC,0.0
ACBI,ATLANTIC CAPITAL BANCSHARES INC,0.0
SELB,SELECTA BIOSCIENCES INC,0.0
SILC,Silicom Ltd,0.0
PIP,PharmAthene Inc,0.0
SYRS,SYROS PHARMACEUTICALS INC,0.0
TRHC,TABULA RASA HEALTHCARE INC,0.0
WNEB,WESTERN NEW ENGLAND BANCORP INC,0.0
AXSM,AXSOME THERAPEUTICS INC,0.0
EDGE,EDGE THERAPEUTICS INC,0.0
LWAY,Lifeway Foods Inc,0.0
VSAR,Versartis Inc,0.0
CLSD,CLEARSIDE BIOMEDICAL INC,0.0
HMTV,Hemisphere Media Group Inc,0.0
LHCG,LHC Group Inc,0.0
UTEK,Ultratech Inc,0.0
RGLS,Regulus Therapeutics Inc,0.0
HOME,Home Federal Bancorp Inc/Idaho,0.0
BH,Biglari Holdings Inc,0.0
NPTN,NeoPhotonics Corp,0.0
BATRA,LIBERTY MEDIA LIBERTY BRAVES CORP,0.0
EIGR,EIGER BIOPHARMACEUTICALS INC,0.0
NPK,National Presto Industries Inc,0.0
ORC,Orchid Island Capital Inc,0.0
VTVT,vTv Therapeutics Inc,0.0
TPB,TURNING POINT BRANDS INC,0.0
TROV,Trovagene Inc,0.0
VEC,Vectrus Inc,0.0
CARA,Cara Therapeutics Inc,0.0
TTGT,TechTarget Inc,0.0
CENX,Century Aluminum Co,0.0
OBLN,OBALON THERAPEUTICS INC,0.0
SONS,Sonus Networks Inc,0.0
BHBK,Blue Hills Bancorp Inc,0.0
VRAY,VIEWRAY INC,0.0
SNC,State National Cos Inc,0.0
AVGR,Avinger Inc,0.0
DFRG,Del Frisco's Restaurant Group Inc,0.0
FOR,Forestar Group Inc,0.0
TNDM,Tandem Diabetes Care Inc,0.0
FLKS,Flex Pharma Inc,0.0
ABTX,ALLEGIANCE BANCSHARES INC,0.0
AMPE,Ampio Pharmaceuticals Inc,0.0
NDLS,Noodles & Co,0.0
FLGT,FULGENT GENETICS INC,0.0
PMTS,CPI CARD GROUP INC,0.0
HTBK,Heritage Commerce Corp,0.0
SYUT,Synutra International Inc,0.0
TPHS,TRINITY PLACE HOLDINGS INC,0.0
STML,Stemline Therapeutics Inc,0.0
COWN,Cowen Group Inc,0.0
IRMD,iRadimed Corp,0.0
SNDX,SYNDAX PHARMACEUTICALS INC,0.0
NTB,BANK OF NT BUTTERFIELD & SON LTD,0.0
VSI,Vitamin Shoppe Inc,0.0
KNSL,KINSALE CAPITAL GROUP INC,0.0
WKHS,WORKHORSE GROUP INC,0.0
ADUS,Addus HomeCare Corp,0.0
LYTS,LSI Industries Inc,0.0
AGRX,Agile Therapeutics Inc,0.0
APVO,APTEVO THERAPEUTICS INC,0.0
BWFG,Bankwell Financial Group Inc,0.0
GBL,GAMCO Investors Inc,0.0
LMOS,Lumos Networks Corp,0.0
KONA,Kona Grill Inc,0.0
MJCO,MAJESCO,0.0
XBKS,Xenith Bankshares Inc,0.0
PICO,PICO Holdings Inc,0.0
CCS,Century Communities Inc,0.0
GDEN,GOLDEN ENTERTAINMENT INC,0.0
FRED,Fred's Inc,0.0
GAIA,Gaiam Inc,0.0
VRTV,Veritiv Corp,0.0
NWHM,New Home Co Inc,0.0
PN,Patriot National Inc,0.0
BIOS,BioScrip Inc,0.0
REGI,Renewable Energy Group Inc,0.0
ITEK,Inotek Pharmaceuticals Corp,0.0
CENT,Central Garden & Pet Co,0.0
EGLT,Egalet Corp,0.0
HBCP,Home Bancorp Inc,0.0
AFI,ARMSTRONG FLOORING INC,0.0
NOVN,NOVAN INC,0.0
LBY,Libbey Inc,0.0
MLR,Miller Industries Inc/TN,0.0
ATRA,Atara Biotherapeutics Inc,0.0
OME,Omega Protein Corp,0.0
HOFT,Hooker Furniture Corp,0.0
NH,NANTHEALTH INC,0.0
KDMN,KADMON INC,0.0
LTS,Ladenburg Thalmann Financial Services Inc,0.0
FSAM,Fifth Street Asset Management Inc,0.0
SCWX,SECUREWORKS CLASS A CORP,0.0
ZAGG,ZAGG Inc,0.0
MDLY,Medley Management Inc,0.0
GLDD,Great Lakes Dredge & Dock Corp,0.0
ABTL,Autobytel Inc,0.0
PSIX,Power Solutions International Inc,0.0
ADPT,Adeptus Health Inc,0.0
HONE,HARBORONE BANCORP INC,0.0
ORN,Orion Marine Group Inc,0.0
RNET,RigNet Inc,0.0
SHLD,Sears Holdings Corp,0.0
EYES,Second Sight Medical Products Inc,0.0
VALU,Value Line Inc,0.0
CVI,CVR Energy Inc,0.0
USLM,United States Lime & Minerals Inc,0.0
TCS,Container Store Group Inc,0.0
ARGS,Argos Therapeutics Inc,0.0
RM,Regional Management Corp,0.0
FBK,FB FINANCIAL CORP,0.0
ANTH,Anthera Pharmaceuticals Inc,0.0
XONE,ExOne Co,0.0
SPA,Sparton Corp,0.0
GIG,GigOptix Inc,0.0
ENT,Global Eagle Entertainment Inc,0.0
PHIIK,PHI Inc,0.0
TUSK,MAMMOTH ENERGY SERVICES INC,0.0
NMRX,Numerex Corp,0.0
AGYS,Agilysys Inc,0.0
TRXC,TransEnterix Inc,0.0
CRVS,CORVUS PHARMACEUTICALS INC,0.0
SND,SMART SAND INC,0.0
BLBD,Blue Bird Corp,0.0
TSQ,Townsquare Media Inc,0.0
ALCO,Alico Inc,0.0
DMTX,DIMENSION THERAPEUTICS INC,0.0
WEYS,Weyco Group Inc,0.0
GCBC,Greene County Bancorp Inc,0.0
UCP,UCP Inc,0.0
TKAI,Tokai Pharmaceuticals Inc,0.0
PVBC,Provident Bancorp Inc,0.0
BBW,Build-A-Bear Workshop Inc,0.0
ECYT,Endocyte Inc,0.0
NK,NantKwest Inc,0.0
HLTH,NOBILIS HEALTH CORP,0.0
OVAS,OvaScience Inc,0.0
TPIC,TPI COMPOSITES INC,0.0
GALE,Galena Biopharma Inc,0.0
NYNY,Empire Resorts Inc,0.0
VHI,Valhi Inc,0.0
CDTX,Cidara Therapeutics Inc,0.0
CSTR,CAPSTAR FINANCIAL HOLDINGS INC,0.0
PBNC,PARAGON COMMERCIAL CORP,0.0
VNCE,Vince Holding Corp,0.0
TPHS,TRINITY PLACE HOLDINGS INC DUMMY,0.0
SHOR,ShoreTel Inc,0.0
NTLA,INTELLIA THERAPEUTICS INC,0.0
AVAV,Aerovironment Inc,0.0
CBMG,Cellular Biomedicine Group Inc,0.0
HWKN,Hawkins Inc,0.0
AAC,AAC Holdings Inc,0.0
HCCI,Heritage-Crystal Clean Inc,0.0
NAV,Navistar International Corp,0.0
RUBI,Rubicon Project Inc,0.0
ALOG,Analogic Corp,0.0
SYN,Synthetic Biologics Inc,0.0
TTOO,T2 Biosystems Inc,0.0
SMRT,Stein Mart Inc,0.0
IMMR,Immersion Corp,0.0
PNK,Pinnacle Entertainment Inc,0.0
EXAR,Exar Corp,0.0
ISRL,Isramco Inc,0.0
MRTX,Mirati Therapeutics Inc,0.0
IMDZ,Immune Design Corp,0.0
ITG,Investment Technology Group Inc,0.0
HNNA,Hennessy Advisors Inc,0.0
CUNB,CU Bancorp,0.0
TAX,Liberty Tax Inc,0.0
ATHX,Athersys Inc,0.0
YRCW,YRC Worldwide Inc,0.0
CDXC,CHROMADEX CORP,0.0
KIRK,Kirkland's Inc,0.0
ULH,Universal Truckload Services Inc,0.0
LNDC,Landec Corp,0.0
PTGX,PROTAGONIST THERAPEUTICS INC,0.0
NFBK,Northfield Bancorp Inc,0.0
GLYC,GlycoMimetics Inc,0.0
CNTY,Century Casinos Inc,0.0
CVRS,CORINDUS VASCULAR ROBOTICS INC,0.0
