IWM,4.4099998E10
LDL,Lydall Inc,0.04
SFL,Ship Finance International Ltd,0.04
EXTN,EXTERRAN CORP,0.04
CSII,Cardiovascular Systems Inc,0.04
AROC,ARCHROCK INC,0.04
DYN,Dynegy Inc,0.04
ENSG,Ensign Group Inc,0.04
KRA,Kraton Performance Polymers Inc,0.04
GPRE,Green Plains Inc,0.04
FSS,Federal Signal Corp,0.04
SAFT,Safety Insurance Group Inc,0.04
GHL,Greenhill & Co Inc,0.04
DNR,Denbury Resources Inc,0.04
LNN,Lindsay Corp,0.04
FIBK,First Interstate BancSystem Inc,0.04
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc,0.04
KOP,Koppers Holdings Inc,0.04
EFSC,Enterprise Financial Services Corp,0.04
STRA,Strayer Education Inc,0.04
SNHY,Sun Hydraulics Corp,0.04
JOE,St Joe Co,0.04
UBNK,United Financial Bancorp Inc,0.04
LSCC,Lattice Semiconductor Corp,0.04
NHC,National HealthCare Corp,0.04
TMHC,Taylor Morrison Home Corp,0.04
UVE,Universal Insurance Holdings Inc,0.04
LBAI,Lakeland Bancorp Inc,0.04
NOVT,NOVANTA INC,0.04
BGC,General Cable Corp,0.04
TIER,Tier REIT Inc,0.04
ARR,ARMOUR Residential REIT Inc,0.04
PKY,Parkway Properties Inc/Md,0.04
PLUS,ePlus Inc,0.04
TPRE,Third Point Reinsurance Ltd,0.04
BLX,Banco Latinoamericano de Comercio Exterior SA,0.04
PGNX,Progenics Pharmaceuticals Inc,0.04
NEWR,New Relic Inc,0.04
XLRN,Acceleron Pharma Inc,0.04
BOX,Box Inc,0.04
CRAY,Cray Inc,0.04
STAR,iStar Financial Inc,0.04
CBB,Cincinnati Bell Inc,0.04
ATSG,Air Transport Services Group Inc,0.04
OXM,Oxford Industries Inc,0.04
AMAG,AMAG Pharmaceuticals Inc,0.04
ANF,Abercrombie & Fitch Co,0.04
True,TrueCar Inc,0.04
DEL,Deltic Timber Corp,0.04
WGO,Winnebago Industries Inc,0.04
AEGN,Aegion Corp,0.04
CNS,Cohen & Steers Inc,0.04
MGRC,McGrath RentCorp,0.04
WMS,Advanced Drainage Systems Inc,0.04
HEES,H&E Equipment Services Inc,0.04
HT,Hersha Hospitality Trust,0.04
CWEI,Clayton Williams Energy Inc,0.04
NMBL,Nimble Storage Inc,0.04
TYPE,Monotype Imaging Holdings Inc,0.04
CSTE,CAESARSTONE LTD,0.04
ICFI,ICF International Inc,0.04
NCMI,National CineMedia Inc,0.04
SJW,SJW Corp,0.04
FNFV,FNFV Group,0.04
TREE,LendingTree Inc,0.04
NBHC,National Bank Holdings Corp,0.04
AAOI,Applied Optoelectronics Inc,0.04
PCTY,Paylocity Holding Corp,0.04
NAT,Nordic American Tankers Ltd,0.04
WASH,Washington Trust Bancorp Inc,0.04
ZIOP,ZIOPHARM Oncology Inc,0.04
QSII,Quality Systems Inc,0.04
MSFG,MainSource Financial Group Inc,0.04
TMST,TimkenSteel Corp,0.04
BRSS,Global Brass & Copper Holdings Inc,0.04
ATNI,Atlantic Tele-Network Inc,0.04
RESI,Altisource Residential Corp,0.04
FWONA,LIBERTY MEDIA FORMULA ONE CORP SER,0.04
MNR,Monmouth Real Estate Investment Corp,0.04
UEIC,Universal Electronics Inc,0.04
GLT,PH Glatfelter Co,0.04
SPSC,SPS Commerce Inc,0.04
ALOG,Analogic Corp,0.04
WIRE,Encore Wire Corp,0.04
DENN,Denny's Corp,0.04
HURN,Huron Consulting Group Inc,0.04
MC,Moelis & Co,0.04
VVI,Viad Corp,0.04
CVGW,Calavo Growers Inc,0.04
GLOB,GLOBANT SA,0.04
CPF,Central Pacific Financial Corp,0.04
BGG,Briggs & Stratton Corp,0.04
QLYS,Qualys Inc,0.04
SHLM,A Schulman Inc,0.04
HTLD,Heartland Express Inc,0.04
BUSE,First Busey Corp,0.04
GTN,Gray Television Inc,0.04
AGX,Argan Inc,0.04
DIOD,Diodes Inc,0.04
STBZ,State Bank Financial Corp,0.04
SVU,SUPERVALU Inc,0.04
ALX,Alexander's Inc,0.04
MTSC,MTS Systems Corp,0.04
CBPX,Continental Building Products Inc,0.04
MANT,ManTech International Corp/VA,0.04
NR,Newpark Resources Inc,0.03
DHIL,Diamond Hill Investment Group Inc,0.03
MCS,Marcus Corp,0.03
HSTM,HealthStream Inc,0.03
FBC,Flagstar Bancorp Inc,0.03
INTL,INTL. FCStone Inc,0.03
FOXF,Fox Factory Holding Corp,0.03
ATRC,AtriCure Inc,0.03
TOWR,Tower International Inc,0.03
GHDX,Genomic Health Inc,0.03
FLIC,First of Long Island Corp,0.03
ATRO,Astronics Corp,0.03
SCHN,Schnitzer Steel Industries Inc,0.03
NMIH,NMI Holdings Inc,0.03
VSAR,Versartis Inc,0.03
MSEX,Middlesex Water Co,0.03
RYAM,Rayonier Advanced Materials Inc,0.03
HSKA,Heska Corp,0.03
FARO,FARO Technologies Inc,0.03
SYNT,Syntel Inc,0.03
CATO,Cato Corp,0.03
RUTH,Ruth's Hospitality Group Inc,0.03
FRGI,Fiesta Restaurant Group Inc,0.03
AVAV,Aerovironment Inc,0.03
CTWS,Connecticut Water Service Inc,0.03
PDFS,PDF Solutions Inc,0.03
VCRA,Vocera Communications Inc,0.03
PIR,Pier 1 Imports Inc,0.03
SGBK,Stonegate Bank,0.03
NYLDA,NRG YIELD INC CLASS A,0.03
GKOS,Glaukos Corp,0.03
CHRS,Coherus Biosciences Inc,0.03
SNR,New Senior Investment Group Inc,0.03
ETH,Ethan Allen Interiors Inc,0.03
SSTK,Shutterstock Inc,0.03
CORT,Corcept Therapeutics Inc,0.03
MTW,Manitowoc Co Inc,0.03
NFBK,Northfield Bancorp Inc,0.03
CLDT,Chatham Lodging Trust,0.03
LHCG,LHC Group Inc,0.03
UIS,Unisys Corp,0.03
FFIC,Flushing Financial Corp,0.03
MTGE,American Capital Mortgage Investment Corp,0.03
GES,Guess? Inc,0.03
OCFC,OceanFirst Financial Corp,0.03
FORM,FormFactor Inc,0.03
GPRO,GoPro Inc,0.03
AVX,AVX Corp,0.03
WWE,World Wrestling Entertainment Inc,0.03
GFF,Griffon Corp,0.03
ALG,Alamo Group Inc,0.03
EXPR,Express Inc,0.03
ASNA,Ascena Retail Group Inc,0.03
TISI,Team Inc,0.03
SRCE,1st Source Corp,0.03
IRDM,Iridium Communications Inc,0.03
IRET,Investors Real Estate Trust,0.03
BEAT,BioTelemetry Inc,0.03
ATW,Atwood Oceanics Inc,0.03
CASH,Meta Financial Group Inc,0.03
EGRX,Eagle Pharmaceuticals Inc/DE,0.03
TCBK,TriCo Bancshares,0.03
TLRD,TAILORED BRANDS INC,0.03
NYMT,New York Mortgage Trust Inc,0.03
BANF,BancFirst Corp,0.03
QUAD,Quad/Graphics Inc,0.03
LMNX,Luminex Corp,0.03
SBY,Silver Bay Realty Trust Corp,0.03
DPLO,Diplomat Pharmacy Inc,0.03
CASS,Cass Information Systems Inc,0.03
TRST,TrustCo Bank Corp NY,0.03
CACQ,Caesars Acquisition Co,0.03
NWLI,National Western Life Insurance Co,0.03
CEVA,CEVA Inc,0.03
QUOT,QUOTIENT TECHNOLOGY INC,0.03
ARCB,ArcBest Corp,0.03
HFWA,Heritage Financial Corp/WA,0.03
CCC,Calgon Carbon Corp,0.03
IBTX,Independent Bank Group Inc,0.03
PLAB,Photronics Inc,0.03
LOXO,Loxo Oncology Inc,0.03
FOSL,Fossil Group Inc,0.03
PSTG,PURE STORAGE INC CLASS A,0.03
SBCF,Seacoast Banking Corp of Florida,0.03
OFIX,Orthofix International NV,0.03
FBP,First BanCorp/Puerto Rico,0.03
APFH,ADVANCEPIERRE FOODS HOLDINGS INC,0.03
NANO,Nanometrics Inc,0.03
RTRX,Retrophin Inc,0.03
CTBI,Community Trust Bancorp Inc,0.03
KND,Kindred Healthcare Inc,0.03
CBZ,CBIZ Inc,0.03
CTS,CTS Corp,0.03
CNOB,ConnectOne Bancorp Inc,0.03
HIFR,InfraREIT Inc,0.03
NX,Quanex Building Products Corp,0.03
PJT,PJT PARTNERS INC CLASS A,0.03
FINL,Finish Line Inc,0.03
HMST,HomeStreet Inc,0.03
PHH,PHH Corp,0.03
IPXL,Impax Laboratories Inc,0.03
KCG,KCG Holdings Inc,0.03
RRGB,Red Robin Gourmet Burgers Inc,0.03
UVSP,Univest Corp of Pennsylvania,0.03
HIBB,Hibbett Sports Inc,0.03
EXTR,Extreme Networks Inc,0.03
EPZM,Epizyme Inc,0.03
NRE,NORTHSTAR REALTY EUROPE CORP,0.03
NEWM,New Media Investment Group Inc,0.03
GOGO,Gogo Inc,0.03
ISLE,Isle of Capri Casinos Inc,0.03
TR,Tootsie Roll Industries Inc,0.03
MGPI,MGP Ingredients Inc,0.03
RRR,RED ROCK RESORTS ORS CLASS A INC,0.03
MTRN,Materion Corp,0.03
GABC,German American Bancorp Inc,0.03
BMTC,Bryn Mawr Bank Corp,0.03
AMBC,Ambac Financial Group Inc,0.03
PLOW,Douglas Dynamics Inc,0.03
FMSA,Fairmount Santrol Holdings Inc,0.03
PMC,PharMerica Corp,0.03
PFBC,Preferred Bank/Los Angeles CA,0.03
STNG,Scorpio Tankers Inc,0.03
WAIR,Wesco Aircraft Holdings Inc,0.03
GSM,Globe Specialty Metals Inc,0.03
FFG,FBL Financial Group Inc,0.03
RPXC,RPX Corp,0.03
GTT,GTT Communications Inc,0.03
RTEC,Rudolph Technologies Inc,0.03
THR,Thermon Group Holdings Inc,0.03
GLRE,Greenlight Capital Re Ltd,0.03
CAC,Camden National Corp,0.03
GTY,Getty Realty Corp,0.03
KELYA,Kelly Services Inc,0.03
SUP,Superior Industries International Inc,0.03
DCOM,Dime Community Bancshares Inc,0.03
LXRX,Lexicon Pharmaceuticals Inc,0.03
CCF,Chase Corp,0.03
ECPG,Encore Capital Group Inc,0.03
CENX,Century Aluminum Co,0.03
FTK,Flotek Industries Inc,0.03
CUNB,CU Bancorp,0.03
BDGE,Bridge Bancorp Inc,0.03
ORIT,Oritani Financial Corp,0.03
CHGG,Chegg Inc,0.03
OLLI,Ollie's Bargain Outlet Holdings Inc,0.03
DEA,Easterly Government Properties Inc,0.03
OMAM,OM Asset Management Plc,0.03
BCRX,BioCryst Pharmaceuticals Inc,0.03
PRFT,Perficient Inc,0.03
ANIK,Anika Therapeutics Inc,0.03
IPAR,Inter Parfums Inc,0.03
ECHO,Echo Global Logistics Inc,0.03
KAI,Kadant Inc,0.03
ATRI,Atrion Corp,0.03
UTEK,Ultratech Inc,0.03
AIMT,Aimmune Therapeutics Inc,0.03
BCOR,Blucora Inc,0.03
COBZ,CoBiz Financial Inc,0.03
LADR,Ladder Capital Corp,0.03
GBT,GLOBAL BLOOD THERAPEUTICS INC,0.03
LRN,K12 Inc,0.03
FRAN,Francesca's Holdings Corp,0.03
MYRG,MYR Group Inc,0.03
JRVR,JAMES RIVER GROUP HOLDINGS LTD,0.03
IIIN,Insteel Industries Inc,0.03
MGNX,MacroGenics Inc,0.03
IMKTA,Ingles Markets Inc,0.03
UTL,Unitil Corp,0.03
KFRC,Kforce Inc,0.03
ORBC,ORBCOMM Inc,0.03
HRTX,Heron Therapeutics Inc,0.03
LCI,Lannett Co Inc,0.03
OSUR,OraSure Technologies Inc,0.03
GLOG,GasLog Ltd,0.03
BFS,Saul Centers Inc,0.03
MHO,M/I Homes Inc,0.03
TTS,Tile Shop Holdings Inc,0.03
USNA,USANA Health Sciences Inc,0.03
SN,Sanchez Energy Corp,0.03
PRSC,Providence Service Corp,0.03
KBAL,Kimball International Inc,0.03
IMMU,Immunomedics Inc,0.03
PSTB,Park Sterling Corp,0.03
SP,SP Plus Corp,0.03
NNBR,NN Inc,0.03
SAH,Sonic Automotive Inc,0.03
SXC,SunCoke Energy Inc,0.03
CAMP,CalAmp Corp,0.03
MMI,Marcus & Millichap Inc,0.02
MPSX,MULTI PACKAGING SOLUTIONS INTERNAT,0.02
MB,MINDBODY Inc,0.02
NVEC,NVE Corp,0.02
FORR,Forrester Research Inc,0.02
INWK,InnerWorkings Inc,0.02
BBSI,Barrett Business Services Inc,0.02
ETM,Entercom Communications Corp,0.02
ANIP,ANI Pharmaceuticals Inc,0.02
YRCW,YRC Worldwide Inc,0.02
PACB,Pacific Biosciences of California Inc,0.02
PRO,PROS Holdings Inc,0.02
GSAT,Globalstar Inc,0.02
ERI,Eldorado Resorts Inc,0.02
FPO,First Potomac Realty Trust,0.02
NSR,NeuStar Inc,0.02
VRTS,Virtus Investment Partners Inc,0.02
ESND,Essendant Inc,0.02
QDEL,Quidel Corp,0.02
WMK,Weis Markets Inc,0.02
GRC,Gorman-Rupp Co,0.02
FBNC,First Bancorp/Southern Pines NC,0.02
JBSS,John B Sanfilippo & Son Inc,0.02
HZO,MarineMax Inc,0.02
BKS,Barnes & Noble Inc,0.02
MRTN,Marten Transport Ltd,0.02
VIVO,Meridian Bioscience Inc,0.02
FRED,Fred's Inc,0.02
UHT,Universal Health Realty Income Trust,0.02
PLNT,PLANET FITNESS INC CLASS A,0.02
VNDA,Vanda Pharmaceuticals Inc,0.02
NSM,Nationstar Mortgage Holdings Inc,0.02
HY,Hyster-Yale Materials Handling Inc,0.02
ITG,Investment Technology Group Inc,0.02
CECO,Career Education Corp,0.02
SDRL,Seadrill Ltd,0.02
GSBC,Great Southern Bancorp Inc,0.02
FIVN,Five9 Inc,0.02
AGM,Federal Agricultural Mortgage Corp,0.02
EGL,Engility Holdings Inc,0.02
MOD,Modine Manufacturing Co,0.02
AFAM,Almost Family Inc,0.02
ANH,Anworth Mortgage Asset Corp,0.02
BKE,Buckle Inc,0.02
CZR,Caesars Entertainment Corp,0.02
FLXN,Flexion Therapeutics Inc,0.02
IRT,INDEPENDENCE REALTY TRUST REIT INC,0.02
ADSW,ADVANCED DISPOSAL SERVICES INC,0.02
LORL,Loral Space & Communications Inc,0.02
GNMK,GenMark Diagnostics Inc,0.02
TDOC,TELADOC INC,0.02
PAHC,Phibro Animal Health Corp,0.02
TGTX,TG Therapeutics Inc,0.02
PARR,PAR PACIFIC HOLDINGS INC,0.02
ITCI,Intra-Cellular Therapies Inc,0.02
SPPI,Spectrum Pharmaceuticals Inc,0.02
CRY,CryoLife Inc,0.02
VRTV,Veritiv Corp,0.02
CSWI,CSW INDUSTRIALS INC,0.02
ELGX,Endologix Inc,0.02
MPAA,Motorcar Parts of America Inc,0.02
MBWM,Mercantile Bank Corp,0.02
AXDX,Accelerate Diagnostics Inc,0.02
NLS,Nautilus Inc,0.02
CUDA,Barracuda Networks Inc,0.02
OFG,OFG Bancorp,0.02
SITE,SITEONE LANDSCAPE SUPPLY INC,0.02
KTWO,K2M Group Holdings Inc,0.02
MITT,AG Mortgage Investment Trust Inc,0.02
SRI,Stoneridge Inc,0.02
GNCMA,General Communication Inc,0.02
PEBO,Peoples Bancorp Inc/OH,0.02
DXPE,DXP Enterprises Inc,0.02
ACTA,Actua Corp,0.02
PCBK,Pacific Continental Corp,0.02
TSC,TriState Capital Holdings Inc,0.02
QCRH,QCR Holdings Inc,0.02
HBNC,Horizon Bancorp/IN,0.02
CRC,California Resources Corp,0.02
AHT,Ashford Hospitality Trust Inc,0.02
COTV,COTIVITI HOLDINGS INC,0.02
MGI,MoneyGram International Inc,0.02
OCN,Ocwen Financial Corp,0.02
WLH,William Lyon Homes,0.02
EIGI,Endurance International Group Holdings Inc,0.02
ACHN,Achillion Pharmaceuticals Inc,0.02
PGTI,PGT Inc,0.02
TTEC,TeleTech Holdings Inc,0.02
CMCO,Columbus McKinnon Corp/NY,0.02
AMPH,Amphastar Pharmaceuticals Inc,0.02
LJPC,La Jolla Pharmaceutical Co,0.02
LL,Lumber Liquidators Holdings Inc,0.02
CWST,Casella Waste Systems Inc,0.02
SALT,Scorpio Bulkers Inc,0.02
LGIH,LGI Homes Inc,0.02
TAST,Carrols Restaurant Group Inc,0.02
RATE,Bankrate Inc,0.02
RCII,Rent-A-Center Inc/TX,0.02
GNC,GNC Holdings Inc,0.02
FRO,Frontline Ltd/Bermuda,0.02
SHAK,Shake Shack Inc,0.02
RECN,Resources Connection Inc,0.02
AHH,Armada Hoffler Properties Inc,0.02
CROX,Crocs Inc,0.02
SCLN,SciClone Pharmaceuticals Inc,0.02
LDR,Landauer Inc,0.02
HAYN,Haynes International Inc,0.02
SCNB,Suffolk Bancorp,0.02
GOOD,Gladstone Commercial Corp,0.02
NLNK,NewLink Genetics Corp,0.02
OKSB,Southwest Bancorp Inc,0.02
UCTT,Ultra Clean Holdings Inc,0.02
TWI,Titan International Inc,0.02
HWKN,Hawkins Inc,0.02
BRS,Bristow Group Inc,0.02
WSBF,Waterstone Financial Inc,0.02
PGC,Peapack Gladstone Financial Corp,0.02
DHT,DHT Holdings Inc,0.02
LION,Fidelity Southern Corp,0.02
XCRA,Xcerra Corp,0.02
THFF,First Financial Corp/IN,0.02
HSII,Heidrick & Struggles International Inc,0.02
ANGO,AngioDynamics Inc,0.02
FISI,Financial Institutions Inc,0.02
VSI,Vitamin Shoppe Inc,0.02
FOR,Forestar Group Inc,0.02
CHUY,Chuy's Holdings Inc,0.02
OMER,Omeros Corp,0.02
MDCA,MDC Partners Inc,0.02
NPK,National Presto Industries Inc,0.02
COHU,Cohu Inc,0.02
CCRN,Cross Country Healthcare Inc,0.02
GLBL,TERRAFORM GLOBAL INC CLASS A,0.02
CYTK,Cytokinetics Inc,0.02
ACET,Aceto Corp,0.02
ENTA,Enanta Pharmaceuticals Inc,0.02
TG,Tredegar Corp,0.02
INO,Inovio Pharmaceuticals Inc,0.02
TK,Teekay Corp,0.02
KERX,Keryx Biopharmaceuticals Inc,0.02
SNC,State National Cos Inc,0.02
WTW,Weight Watchers International Inc,0.02
ACLS,Axcelis Technologies Inc,0.02
MED,Medifast Inc,0.02
RGS,Regis Corp,0.02
YORW,York Water Co,0.02
ESPR,Esperion Therapeutics Inc,0.02
REX,REX American Resources Corp,0.02
WHG,Westwood Holdings Group Inc,0.02
ARDX,Ardelyx Inc,0.02
BHB,Bar Harbor Bankshares,0.02
WIFI,Boingo Wireless Inc,0.02
KEYW,KEYW Holding Corp,0.02
KTOS,Kratos Defense & Security Solutions Inc,0.02
LOB,Live Oak Bancshares Inc,0.02
REI,Ring Energy Inc,0.02
NCS,NCI Building Systems Inc,0.02
GTS,Triple-S Management Corp,0.02
CERS,Cerus Corp,0.02
BHBK,Blue Hills Bancorp Inc,0.02
CDR,Cedar Realty Trust Inc,0.02
ATRA,Atara Biotherapeutics Inc,0.02
BW,Babcock & Wilcox Enterprises Inc,0.02
HCKT,Hackett Group Inc,0.02
EXAR,Exar Corp,0.02
OME,Omega Protein Corp,0.02
KE,Kimball Electronics Inc,0.02
FDEF,First Defiance Financial Corp,0.02
STFC,State Auto Financial Corp,0.02
AVD,American Vanguard Corp,0.02
HLIT,Harmonic Inc,0.02
VIRT,VIRTU FINANCIAL INC CLASS A,0.02
XOXO,XO Group Inc,0.02
AFI,ARMSTRONG FLOORING INC,0.02
AVXS,AVEXIS INC,0.02
FSB,Franklin Financial Network Inc,0.02
TTI,TETRA Technologies Inc,0.02
FMI,Foundation Medicine Inc,0.02
UFI,Unifi Inc,0.02
PGEM,Ply Gem Holdings Inc,0.02
HVT,Haverty Furniture Cos Inc,0.02
LBIO,Lion Biotechnologies Inc,0.02
BH,Biglari Holdings Inc,0.02
UBA,Urstadt Biddle Properties Inc,0.02
NEO,NeoGenomics Inc,0.02
IBCP,Independent Bank Corp/MI,0.02
GBNK,Guaranty Bancorp,0.02
HCI,HCI Group Inc,0.02
RGNX,REGENXBIO INC,0.02
EBF,Ennis Inc,0.02
GOLF,ACUSHNET HOLDINGS CORP,0.02
DFRG,Del Frisco's Restaurant Group Inc,0.02
CTT,CatchMark Timber Trust Inc,0.02
MTRX,Matrix Service Co,0.02
NXRT,NEXPOINT RESIDENTIAL TRUST INC TRU,0.02
HLI,HOULIHAN LOKEY INC CLASS A,0.02
ATEN,A10 Networks Inc,0.02
FRBK,Republic First Bancorp Inc,0.02
WING,Wingstop Inc,0.02
UAM,Universal American Corp/NY,0.02
EVC,Entravision Communications Corp,0.02
EZPW,Ezcorp Inc,0.02
HDP,Hortonworks Inc,0.02
CRVL,CorVel Corp,0.02
SHOR,ShoreTel Inc,0.02
SSNI,Silver Spring Networks Inc,0.02
BMRC,Bank of Marin Bancorp,0.02
NTB,BANK OF NT BUTTERFIELD & SON LTD,0.02
CORR,CorEnergy Infrastructure Trust Inc,0.02
SPOK,Spok Holdings Inc,0.02
ABTX,ALLEGIANCE BANCSHARES INC,0.02
CSU,Capital Senior Living Corp,0.02
ARAY,Accuray Inc,0.02
FFWM,First Foundation Inc,0.02
ADRO,Aduro Biotech Inc,0.02
CSV,Carriage Services Inc,0.02
WMC,Western Asset Mortgage Capital Corp,0.02
BZH,Beazer Homes USA Inc,0.02
ALJ,Alon USA Energy Inc,0.02
AROW,Arrow Financial Corp,0.02
RVNC,Revance Therapeutics Inc,0.02
XENT,Intersect ENT Inc,0.02
VDSI,VASCO Data Security International Inc,0.02
BKMU,Bank Mutual Corp,0.02
FCBC,First Community Bancshares Inc/VA,0.02
UCFC,United Community Financial Corp/OH,0.02
ARNA,Arena Pharmaceuticals Inc,0.02
TBK,Triumph Bancorp Inc,0.02
CWH,CAMPING WORLD HOLDINGS INC CLASS A,0.02
MACK,Merrimack Pharmaceuticals Inc,0.02
PETS,PetMed Express Inc,0.02
MBUU,Malibu Boats Inc,0.02
KMG,KMG Chemicals Inc,0.02
HTBI,HomeTrust Bancshares Inc,0.02
STAA,STAAR Surgical Co,0.02
BNED,Barnes & Noble Education Inc,0.02
ENVA,Enova International Inc,0.02
SENEA,Seneca Foods Corp,0.01
GNRT,GENER8 MARITIME INC,0.01
WFBI,WashingtonFirst Bankshares Inc,0.01
SPAR,Spartan Motors Inc,0.01
BELFB,Bel Fuse Inc,0.01
LMNR,Limoneira Co,0.01
OLBK,Old Line Bancshares Inc,0.01
ERA,Era Group Inc,0.01
DSPG,DSP Group Inc,0.01
AI,Arlington Asset Investment Corp,0.01
BWINB,Baldwin & Lyons Inc,0.01
REGI,Renewable Energy Group Inc,0.01
ADUS,Addus HomeCare Corp,0.01
MG,Mistras Group Inc,0.01
CLNE,Clean Energy Fuels Corp,0.01
GEF.B,Greif Inc,0.01
OMN,OMNOVA Solutions Inc,0.01
TBNK,Territorial Bancorp Inc,0.01
IVC,Invacare Corp,0.01
GORO,Gold Resource Corp,0.01
PRTY,Party City Holdco Inc,0.01
TIS,Orchids Paper Products Co,0.01
CCS,Century Communities Inc,0.01
OSTK,Overstock.com Inc,0.01
HRTG,Heritage Insurance Holdings Inc,0.01
EMCI,EMC Insurance Group Inc,0.01
COWN,Cowen Group Inc,0.01
MEDP,MEDPACE HOLDINGS INC,0.01
SGRY,SURGERY PARTNERS INC,0.01
RAS,RAIT Financial Trust,0.01
WSR,Whitestone REIT,0.01
CGI,Celadon Group Inc,0.01
NVCR,NOVOCURE LTD,0.01
DJCO,Daily Journal Corp,0.01
NVAX,Novavax Inc,0.01
BTX,BioTime Inc,0.01
CARO,Carolina Financial Corp,0.01
LYTS,LSI Industries Inc,0.01
TRNC,TRONC INC,0.01
WATT,Energous Corp,0.01
CARB,Carbonite Inc,0.01
CVTI,Covenant Transportation Group Inc,0.01
FRP,FairPoint Communications Inc,0.01
MODN,Model N Inc,0.01
MLAB,Mesa Laboratories Inc,0.01
ANGI,Angie's List Inc,0.01
BV,Bazaarvoice Inc,0.01
CETV,Central European Media Enterprises Ltd,0.01
AXON,Axovant Sciences Ltd,0.01
NTRA,Natera Inc,0.01
SNOW,Intrawest Resorts Holdings Inc,0.01
SREV,ServiceSource International Inc,0.01
ACRE,Ares Commercial Real Estate Corp,0.01
RRTS,Roadrunner Transportation Systems Inc,0.01
AMRI,Albany Molecular Research Inc,0.01
DHX,DHI Group Inc,0.01
NCBS,NICOLET BANKSHARES INC,0.01
ONDK,On Deck Capital Inc,0.01
UMH,UMH Properties Inc,0.01
QHC,QUORUM HEALTH CORP,0.01
LPSN,LivePerson Inc,0.01
FNHC,Federated National Holding Co,0.01
TGH,Textainer Group Holdings Ltd,0.01
KNSL,KINSALE CAPITAL GROUP INC,0.01
PKE,Park Electrochemical Corp,0.01
LCUT,Lifetime Brands Inc,0.01
HTBK,Heritage Commerce Corp,0.01
KOPN,Kopin Corp,0.01
TESO,Tesco Corp,0.01
TRK,Speedway Motorsports Inc,0.01
RIGL,Rigel Pharmaceuticals Inc,0.01
ANCX,Access National Corp,0.01
PTCT,PTC Therapeutics Inc,0.01
LOCO,El Pollo Loco Holdings Inc,0.01
ACRS,ACLARIS THERAPEUTICS INC,0.01
TRUP,Trupanion Inc,0.01
HOFT,Hooker Furniture Corp,0.01
ORN,Orion Marine Group Inc,0.01
MPG,Metaldyne Performance Group Inc,0.01
MRT,MEDEQUITIES REALTY INC TRUST,0.01
PDLI,PDL BioPharma Inc,0.01
TTD,THE TRADE DESK INC,0.01
WTBA,West Bancorporation Inc,0.01
WLB,Westmoreland Coal Co,0.01
WINS,WINS FINANCE HOLDINGS INC,0.01
BFIN,BankFinancial Corp,0.01
FGL,Fidelity & Guaranty Life,0.01
CCBG,Capital City Bank Group Inc,0.01
MOV,Movado Group Inc,0.01
IDT,IDT Corp,0.01
FRTA,FORTERRA INC,0.01
RUBI,Rubicon Project Inc,0.01
OPB,Opus Bank,0.01
DVAX,Dynavax Technologies Corp,0.01
DAKT,Daktronics Inc,0.01
FBK,FB FINANCIAL CORP,0.01
SCVL,Shoe Carnival Inc,0.01
EQBK,EQUITY BANCSHARES INC CLASS A,0.01
PUB,People's Utah Bancorp,0.01
GRBK,Green Brick Partners Inc,0.01
CSBK,Clifton Bancorp Inc,0.01
SILC,Silicom Ltd,0.01
EVH,Evolent Health Inc,0.01
RM,Regional Management Corp,0.01
FBNK,First Connecticut Bancorp Inc/Farmington CT,0.01
ACTG,Acacia Research Corp,0.01
KRO,Kronos Worldwide Inc,0.01
AVXL,ANAVEX LIFE SCIENCES CORP,0.01
GNBC,Green Bancorp Inc,0.01
SIGM,Sigma Designs Inc,0.01
AKBA,Akebia Therapeutics Inc,0.01
TREC,Trecora Resources,0.01
FMNB,Farmers National Banc Corp,0.01
BLMT,BSB Bancorp Inc/MA,0.01
AGEN,Agenus Inc,0.01
MRLN,Marlin Business Services Corp,0.01
RMR,RMR GROUP INC CLASS A,0.01
CVLY,Codorus Valley Bancorp Inc,0.01
BNFT,Benefitfocus Inc,0.01
OMED,OncoMed Pharmaceuticals Inc,0.01
CIA,Citizens Inc/TX,0.01
GLUU,Glu Mobile Inc,0.01
REV,Revlon Inc,0.01
LTS,Ladenburg Thalmann Financial Services Inc,0.01
ASPS,Altisource Portfolio Solutions SA,0.01
GHM,Graham Corp,0.01
AOSL,Alpha & Omega Semiconductor Ltd,0.01
SHBI,Shore Bancshares Inc,0.01
WK,Workiva Inc,0.01
CTO,Consolidated-Tomoka Land Co,0.01
IXYS,IXYS Corp,0.01
UTMD,Utah Medical Products Inc,0.01
LNDC,Landec Corp,0.01
PDVW,Pacific DataVision Inc,0.01
PES,Pioneer Energy Services Corp,0.01
SPA,Sparton Corp,0.01
LMOS,Lumos Networks Corp,0.01
DGAS,Delta Natural Gas Co Inc,0.01
OXFD,Oxford Immunotec Global PLC,0.01
EXA,Exa Corp,0.01
VSEC,VSE Corp,0.01
RTIX,RTI Surgical Inc,0.01
CARA,Cara Therapeutics Inc,0.01
PWOD,Penns Woods Bancorp Inc,0.01
CRIS,Curis Inc,0.01
LXU,LSB Industries Inc,0.01
APEI,American Public Education Inc,0.01
KODK,Eastman Kodak Co,0.01
CFI,Culp Inc,0.01
HABT,Habit Restaurants Inc,0.01
RBCAA,Republic Bancorp Inc/KY,0.01
