IWC,9.2128998E8
BOCH,Bank of Commerce Holdings,0.05
CHMI,Cherry Hill Mortgage Investment Corp,0.05
PLUG,Plug Power Inc,0.05
IDRA,Idera Pharmaceuticals Inc,0.05
FSBK,First South Bancorp Inc/Washington NC,0.05
CHMG,Chemung Financial Corp,0.05
CFMS,ConforMIS Inc,0.05
FC,Franklin Covey Co,0.05
ASBB,ASB Bancorp Inc,0.05
BOOM,Dynamic Materials Corp,0.05
JOUT,Johnson Outdoors Inc,0.05
GIG,GigOptix Inc,0.05
MXWL,Maxwell Technologies Inc,0.05
LMIA,LMI Aerospace Inc,0.05
VRA,Vera Bradley Inc,0.05
SLD,SUTHERLAND ASSET MANAGEMENT CORP,0.05
PMBC,Pacific Mercantile Bancorp,0.05
MYOK,MYOKARDIA INC,0.05
ESIO,Electro Scientific Industries Inc,0.05
INAP,Internap Corp,0.05
WMAR,West Marine Inc,0.05
LAYN,Layne Christensen Co,0.05
PETX,Aratana Therapeutics Inc,0.05
HIIQ,Health Insurance Innovations Inc,0.05
BSF,Bear State Financial Inc,0.05
KIRK,Kirkland's Inc,0.05
GST,Gastar Exploration Inc,0.05
EGAS,Gas Natural Inc,0.05
RAIL,FreightCar America Inc,0.05
CNTY,Century Casinos Inc,0.05
USLM,United States Lime & Minerals Inc,0.05
ARC,ARC Document Solutions Inc,0.04
SPKE,Spark Energy Inc,0.04
RARX,RA PHARMACEUTICALS INC,0.04
USAT,USA Technologies Inc,0.04
NEFF,Neff Corp,0.04
PZN,Pzena Investment Management Inc,0.04
SND,SMART SAND INC,0.04
NWPX,Northwest Pipe Co,0.04
IESC,Integrated Electrical Services Inc,0.04
UBFO,United Security Bancshares/Fresno CA,0.04
ICD,Independence Contract Drilling Inc,0.04
NRCIA,National Research Corp,0.04
INFI,Infinity Pharmaceuticals Inc,0.04
NSSC,Napco Security Technologies Inc,0.04
SLP,Simulations Plus Inc,0.04
TWIN,Twin Disc Inc,0.04
EVBG,EVERBRIDGE INC,0.04
DGICA,Donegal Group Inc,0.04
JAX,J ALEXANDERS HOLDINGS INC,0.04
VCYT,Veracyte Inc,0.04
JONE,Jones Energy Inc,0.04
TTGT,TechTarget Inc,0.04
LLNW,Limelight Networks Inc,0.04
NWHM,New Home Co Inc,0.04
ASCMA,Ascent Capital Group Inc,0.04
TUES,Tuesday Morning Corp,0.04
CWCO,Consolidated Water Co Ltd,0.04
WEYS,Weyco Group Inc,0.04
MSL,MidSouth Bancorp Inc,0.04
FLDM,Fluidigm Corp,0.04
TUSK,MAMMOTH ENERGY SERVICES INC,0.04
GIFI,Gulf Island Fabrication Inc,0.04
QTNA,QUANTENNA COMMUNICATIONS INC,0.04
SIEN,Sientra Inc,0.04
VBIV,VBI Vaccines Inc,0.04
GSIT,GSI Technology Inc,0.04
LIND,LINDBLAD EXPEDITIONS HOLDINGS INC,0.04
RILY,B. Riley Financial Inc,0.04
CVGI,Commercial Vehicle Group Inc,0.04
GUID,Guidance Software Inc,0.04
NM,Navios Maritime Holdings Inc,0.04
PRGX,PRGX Global Inc,0.04
ENOC,EnerNOC Inc,0.04
ARWR,Arrowhead Research Corp,0.04
RSYS,Radisys Corp,0.04
ESCA,Escalade Inc,0.04
PLSE,PULSE BIOSCIENCES INC,0.04
SQBG,Sequential Brands Group Inc,0.04
WBB,Westbury Bancorp Inc,0.04
MCF,Contango Oil & Gas Co,0.04
ITI,Iteris Inc,0.04
MCFT,MCBC Holdings Inc,0.04
CFFI,C&F Financial Corp,0.04
SGC,Superior Uniform Group Inc,0.04
CDXS,Codexis Inc,0.04
BPI,Bridgepoint Education Inc,0.04
OCUL,Ocular Therapeutix Inc,0.04
CCXI,ChemoCentryx Inc,0.04
BCRH,Blue Capital Reinsurance Holdings Ltd,0.04
TRVN,Trevena Inc,0.04
REIS,Reis Inc,0.04
LNTH,Lantheus Holdings Inc,0.04
RETA,REATA PHARMACEUTICALS INC CLASS A,0.04
PI,IMPINJ INC,0.04
NERV,Minerva Neurosciences Inc,0.04
GNMX,AEVI GENOMIC MEDICINE INC,0.04
MITK,Mitek Systems Inc,0.04
LAWS,Lawson Products Inc/DE,0.04
OPY,Oppenheimer Holdings Inc,0.04
CRCM,Care.com Inc,0.04
HCCI,Heritage-Crystal Clean Inc,0.04
AVID,Avid Technology Inc,0.04
PLPM,Planet Payment Inc,0.04
GDEN,GOLDEN ENTERTAINMENT INC,0.04
HIL,Hill International Inc,0.04
RST,Rosetta Stone Inc,0.04
AFH,Atlas Financial Holdings Inc,0.04
HALL,Hallmark Financial Services Inc,0.04
CONN,Conn's Inc,0.04
QUIK,QuickLogic Corp,0.04
ENFC,Entegra Financial Corp,0.04
AMRB,American River Bankshares,0.04
PHIIK,PHI Inc,0.04
GV,Goldfield Corp,0.03
NNA,Navios Maritime Acquisition Corp,0.03
ACFC,Atlantic Coast Financial Corp,0.03
EDGE,EDGE THERAPEUTICS INC,0.03
KINS,Kingstone Cos Inc,0.03
AGYS,Agilysys Inc,0.03
HCOM,Hawaiian Telcom Holdco Inc,0.03
RYI,Ryerson Holding Corp,0.03
CBMG,Cellular Biomedicine Group Inc,0.03
TSQ,Townsquare Media Inc,0.03
DWSN,Dawson Geophysical Co,0.03
RT,Ruby Tuesday Inc,0.03
IRIX,IRIDEX Corp,0.03
CDTX,Cidara Therapeutics Inc,0.03
IMH,Impac Mortgage Holdings Inc,0.03
GNCA,Genocea Biosciences Inc,0.03
CSLT,Castlight Health Inc,0.03
KVHI,KVH Industries Inc,0.03
JMBA,Jamba Inc,0.03
HDNG,Hardinge Inc,0.03
LEE,Lee Enterprises Inc/IA,0.03
EARN,Ellington Residential Mortgage REIT,0.03
PBNC,PARAGON COMMERCIAL CORP,0.03
HFBC,HopFed Bancorp Inc,0.03
AP,Ampco-Pittsburgh Corp,0.03
BBW,Build-A-Bear Workshop Inc,0.03
FBIO,Fortress Biotech Inc,0.03
SHLO,Shiloh Industries Inc,0.03
AOI,Alliance One International Inc,0.03
GENC,Gencor Industries Inc,0.03
IHC,Independence Holding Co,0.03
EML,Eastern Co,0.03
AMRC,Ameresco Inc,0.03
KIN,Kindred Biosciences Inc,0.03
CTSO,CytoSorbents Corp,0.03
SYUT,Synutra International Inc,0.03
VYGR,VOYAGER THERAPEUTICS INC,0.03
CMT,Core Molding Technologies Inc,0.03
FATE,Fate Therapeutics Inc,0.03
PXLW,Pixelworks Inc,0.03
MNKD,MannKind Corp,0.03
AMOT,Allied Motion Technologies Inc,0.03
BBOX,Black Box Corp,0.03
DLA,Delta Apparel Inc,0.03
AMRK,A-Mark Precious Metals Inc,0.03
BOOT,Boot Barn Holdings Inc,0.03
DRRX,Durect Corp,0.03
TPHS,TRINITY PLACE HOLDINGS INC,0.03
MNTX,Manitex International Inc,0.03
NVIV,InVivo Therapeutics Holdings Corp,0.03
FUEL,Rocket Fuel Inc,0.03
TLYS,Tilly's Inc,0.03
AMBR,Amber Road Inc,0.03
SPWH,Sportsman's Warehouse Holdings Inc,0.03
FSTR,LB Foster Co,0.03
SOHO,Sotherly Hotels Inc,0.03
SAMG,Silvercrest Asset Management Group Inc,0.03
WAAS,AQUAVENTURE HOLDINGS LTD,0.03
FONR,Fonar Corp,0.03
LAND,Gladstone Land Corp,0.03
KURA,KURA ONCOLOGY INC,0.03
NAME,Rightside Group Ltd,0.03
PFNX,PFENEX INC,0.03
GMRE,GLOBAL MEDICAL REIT INC,0.03
PLPC,Preformed Line Products Co,0.03
BDE,Black Diamond Inc,0.03
TAX,Liberty Tax Inc,0.03
FBRC,FBR & Co,0.03
UUUU,Energy Fuels Inc/Canada,0.03
STRT,Strattec Security Corp,0.03
ALCO,Alico Inc,0.03
AHC,A H Belo Corp,0.03
NEOS,Neos Therapeutics Inc,0.03
CRD.B,Crawford & Co,0.03
NOG,Northern Oil and Gas Inc,0.03
VUZI,Vuzix Corp,0.03
QNST,QuinStreet Inc,0.03
RMCF,Rocky Mountain Chocolate Factory Inc,0.03
RLH,Red Lion Hotels Corp,0.03
RNWK,RealNetworks Inc,0.03
MOCO,MOCON Inc,0.03
I,Intelsat SA,0.03
WLFC,Willis Lease Finance Corp,0.03
UCP,UCP Inc,0.03
ISRL,Isramco Inc,0.03
DRAD,Digirad Corp,0.03
HWCC,Houston Wire & Cable Co,0.03
SGM,Stonegate Mortgage Corp,0.03
USAP,Universal Stainless & Alloy Products Inc,0.03
CALL,magicJack VocalTec Ltd,0.03
VVUS,VIVUS Inc,0.03
HNNA,Hennessy Advisors Inc,0.03
ENTL,Entellus Medical Inc,0.03
CPSS,Consumer Portfolio Services Inc,0.03
FUSB,FIRST US BANCSHARES INC,0.03
OOMA,Ooma Inc,0.03
GEN,Genesis Healthcare Inc,0.03
CBAY,Cymabay Therapeutics Inc,0.03
CUI,CUI Global Inc,0.03
BGSF,BG STAFFING INC,0.03
WHLR,Wheeler Real Estate Investment Trust Inc,0.03
PFSW,PFSweb Inc,0.03
NYMX,Nymox Pharmaceutical Corp,0.03
HOS,Hornbeck Offshore Services Inc,0.03
CDI,CDI Corp,0.03
NCIT,NCI Inc,0.03
BLBD,Blue Bird Corp,0.03
XONE,ExOne Co,0.03
WG,Willbros Group Inc,0.03
HNRG,Hallador Energy Co,0.03
REPH,Recro Pharma Inc,0.03
MVIS,MicroVision Inc,0.03
MRTX,Mirati Therapeutics Inc,0.02
SMRT,Stein Mart Inc,0.02
YUME,YuMe Inc,0.02
BTN,Ballantyne Strong Inc,0.02
ALJJ,ALJ REGIONAL INC,0.02
GNE,Genie Energy Ltd,0.02
ENPH,Enphase Energy Inc,0.02
KTCC,Key Tronic Corp,0.02
IDSY,ID Systems Inc,0.02
LFVN,Lifevantage Corp,0.02
PAR,PAR Technology Corp,0.02
COVS,Covisint Corp,0.02
CPIX,Cumberland Pharmaceuticals Inc,0.02
AST,Asterias Biotherapeutics Inc,0.02
GWRS,GLOBAL WATER RESOURCES INC,0.02
RELL,Richardson Electronics Ltd/United States,0.02
FRD,Friedman Industries Inc,0.02
NIHD,NII Holdings Inc,0.02
FOGO,Fogo De Chao Inc,0.02
CFRX,ContraFect Corp,0.02
UTI,Universal Technical Institute Inc,0.02
IPI,Intrepid Potash Inc,0.02
SB,Safe Bulkers Inc,0.02
FNBC,First NBC Bank Holding Co,0.02
BCLI,Brainstorm Cell Therapeutics Inc,0.02
USAK,USA Truck Inc,0.02
ARQL,ArQule Inc,0.02
TRNS,Transcat Inc,0.02
LPCN,Lipocine Inc,0.02
CLRO,ClearOne Inc,0.02
HMTV,Hemisphere Media Group Inc,0.02
TACT,TransAct Technologies Inc,0.02
TRXC,TransEnterix Inc,0.02
SKIS,Peak Resorts Inc,0.02
NVTR,NUVECTRA CORP,0.02
CVV,CVD Equipment Corp,0.02
BVX,Bovie Medical Corp,0.02
ROIAK,Radio One Inc,0.02
PATI,Patriot Transportation Holding Inc,0.02
NMRX,Numerex Corp,0.02
FVE,Five Star Quality Care Inc,0.02
BPTH,Bio-Path Holdings Inc,0.02
CSTR,CAPSTAR FINANCIAL HOLDINGS INC,0.02
EDGW,Edgewater Technology Inc,0.02
AMSC,American Superconductor Corp,0.02
HHS,Harte-Hanks Inc,0.02
INTT,inTEST Corp,0.02
AGFS,AGROFRESH SOLUTIONS INC,0.02
SYN,Synthetic Biologics Inc,0.02
SNFCA,Security National Financial Corp,0.02
ADVM,ADVERUM BIOTECHNOLOGIES INC,0.02
OAKS,Five Oaks Investment Corp,0.02
IPAS,iPass Inc,0.02
AXSM,AXSOME THERAPEUTICS INC,0.02
NAII,Natural Alternatives International Inc,0.02
DXLG,Destination XL Group Inc,0.02
IVTY,Invuity Inc,0.02
ACRX,AcelRx Pharmaceuticals Inc,0.02
PTI,PROTEOSTASIS THERAPEUTICS INC,0.02
SANW,S&W Seed Co,0.02
MN,Manning & Napier Inc,0.02
ZFGN,Zafgen Inc,0.02
SYNL,Synalloy Corp,0.02
LFGR,LEAF GROUP LTD,0.02
VTL,Vital Therapies Inc,0.02
PMTS,CPI CARD GROUP INC,0.02
VHC,VirnetX Holding Corp,0.02
ABTL,Autobytel Inc,0.02
EGLT,Egalet Corp,0.02
WTI,W&T Offshore Inc,0.02
JAKK,JAKKS Pacific Inc,0.02
DJCO,Daily Journal Corp,0.02
TPIC,TPI COMPOSITES INC,0.02
PCYO,Pure Cycle Corp,0.02
SRNE,Sorrento Therapeutics Inc,0.02
GAIA,Gaiam Inc,0.02
PTGX,PROTAGONIST THERAPEUTICS INC,0.02
PMD,Psychemedics Corp,0.02
ECYT,Endocyte Inc,0.02
AGTC,Applied Genetic Technologies Corp/DE,0.02
HIVE,Aerohive Networks Inc,0.02
PCTI,PC-Tel Inc,0.02
CHKE,Cherokee Inc,0.02
NAVB,Navidea Biopharmaceuticals Inc,0.02
III,Information Services Group Inc,0.02
BWEN,Broadwind Energy Inc,0.02
ULH,Universal Truckload Services Inc,0.02
SNAK,Inventure Foods Inc,0.02
TTOO,T2 Biosystems Inc,0.02
MPX,Marine Products Corp,0.02
NICK,Nicholas Financial Inc,0.02
VOXX,VOXX International Corp,0.02
RCKY,Rocky Brands Inc,0.02
RBPAA,Royal Bancshares of Pennsylvania Inc,0.02
BDSI,BioDelivery Sciences International Inc,0.02
RELY,Real Industry Inc,0.02
IMDZ,Immune Design Corp,0.02
ABEO,Abeona Therapeutics Inc,0.02
ALSK,Alaska Communications Systems Group Inc,0.02
DWCH,Datawatch Corp,0.02
AE,Adams Resources & Energy Inc,0.02
SYX,Systemax Inc,0.02
BRT,BRT Realty Trust,0.02
AWRE,Aware Inc,0.02
NGVC,Natural Grocers by Vitamin Cottage Inc,0.02
CNAT,Conatus Pharmaceuticals Inc,0.02
ARTX,Arotech Corp,0.02
RNDB,RANDOLPH BANCORP INC,0.02
CTG,Computer Task Group Inc,0.02
TPB,TURNING POINT BRANDS INC,0.02
GLYC,GlycoMimetics Inc,0.02
HLTH,NOBILIS HEALTH CORP,0.02
TRMR,Tremor Video Inc,0.02
PRCP,Perceptron Inc,0.02
SYNC,Synacor Inc,0.02
ADMP,Adamis Pharmaceuticals Corp,0.02
NATR,Nature's Sunshine Products Inc,0.02
ATHX,Athersys Inc,0.02
LAKE,Lakeland Industries Inc,0.02
TESS,TESSCO Technologies Inc,0.02
ALOT,Astro-Med Inc,0.02
CRWS,Crown Crafts Inc,0.02
SEAC,Seachange International Inc,0.02
GSOL,Global Sources Ltd,0.02
BOLD,AUDENTES THERAPEUTICS INC,0.02
UPLD,Upland Software Inc,0.02
TCMD,TACTILE SYSTEMS TECHNOLOGY INC,0.02
HBIO,Harvard Bioscience Inc,0.02
MCHX,Marchex Inc,0.02
AREX,Approach Resources Inc,0.02
INSG,INSEEGO CORP,0.02
MDLY,Medley Management Inc,0.02
TTNP,TITAN PHARMACEUTICALS INC,0.02
UG,United-Guardian Inc,0.02
SALM,Salem Media Group Inc,0.02
AAC,AAC Holdings Inc,0.02
FEIM,Frequency Electronics Inc,0.02
CDXC,CHROMADEX CORP,0.02
XCO,EXCO Resources Inc,0.02
CASC,CASCADIAN THERAPEUTICS INC,0.02
ASRV,AmeriServ Financial Inc,0.02
VCEL,Vericel Corp,0.02
PIRS,Pieris Pharmaceuticals Inc,0.02
SRT,StarTek Inc,0.02
CRMD,CORMEDIX INC,0.02
VISI,VOLT INFORMATION SCIENCES INC,0.02
NYNY,Empire Resorts Inc,0.02
SELB,SELECTA BIOSCIENCES INC,0.01
FMBH,First Mid-Illinois Bancshares Inc,0.01
MLNK,ModusLink Global Solutions Inc,0.01
ALIM,Alimera Sciences Inc,0.01
SYRS,SYROS PHARMACEUTICALS INC,0.01
TZOO,Travelzoo Inc,0.01
LUB,Luby's Inc,0.01
ASPN,ASPEN AEROGELS INC,0.01
BBRG,Bravo Brio Restaurant Group Inc,0.01
MATR,Mattersight Corp,0.01
TRHC,TABULA RASA HEALTHCARE INC,0.01
SNDX,SYNDAX PHARMACEUTICALS INC,0.01
MSON,Misonix Inc,0.01
DEST,Destination Maternity Corp,0.01
VSLR,VIVINT SOLAR INC,0.01
LINC,Lincoln Educational Services Corp,0.01
TVIA,TERRAVIA INC,0.01
KMPH,KemPharm Inc,0.01
CRVS,CORVUS PHARMACEUTICALS INC,0.01
CLSD,CLEARSIDE BIOMEDICAL INC,0.01
MIND,Mitcham Industries Inc,0.01
CEMI,Chembio Diagnostics Inc,0.01
CVU,CPI Aerostructures Inc,0.01
BSQR,BSQUARE Corp,0.01
ASYS,Amtech Systems Inc,0.01
NEON,Neonode Inc,0.01
ATNM,Actinium Pharmaceuticals Inc,0.01
MNI,McClatchy Co,0.01
CERU,Cerulean Pharma Inc,0.01
ALDX,Aldeyra Therapeutics Inc,0.01
ABCD,Cambium Learning Group Inc,0.01
PIP,PharmAthene Inc,0.01
TCS,Container Store Group Inc,0.01
SENS,SENSEONICS HOLDINGS INC,0.01
ICAD,Icad Inc,0.01
SYMX,Synthesis Energy Systems Inc,0.01
NWY,New York & Co Inc,0.01
CCUR,Concurrent Computer Corp,0.01
GSB,GlobalSCAPE Inc,0.01
RVLT,Revolution Lighting Technologies Inc,0.01
SCYX,SCYNEXIS Inc,0.01
SMED,Sharps Compliance Corp,0.01
XRM,Xerium Technologies Inc,0.01
HNH,Handy & Harman Ltd,0.01
CORI,Corium International Inc,0.01
EVLV,EVINE Live Inc,0.01
SCX,LS Starrett Co,0.01
COGT,COGINT INC,0.01
SKY,Skyline Corp,0.01
VTVT,vTv Therapeutics Inc,0.01
LIFE,aTyr Pharma Inc,0.01
CASM,CAS Medical Systems Inc,0.01
NTIC,Northern Technologies International Corp,0.01
MRVC,MRV Communications Inc,0.01
GVP,GSE Systems Inc,0.01
GALT,Galectin Therapeutics Inc,0.01
KTEC,Key Technology Inc,0.01
OESX,Orion Energy Systems Inc,0.01
BCEI,Bonanza Creek Energy Inc,0.01
JNP,Juniper Pharmaceuticals Inc,0.01
PFMT,Performant Financial Corp,0.01
NTWK,NetSol Technologies Inc,0.01
EGY,VAALCO Energy Inc,0.01
CVRS,CORINDUS VASCULAR ROBOTICS INC,0.01
AIQ,Alliance HealthCare Services Inc,0.01
MEIP,MEI Pharma Inc,0.01
PSDV,pSivida Corp,0.01
APPS,Digital Turbine Inc,0.01
AAMC,Altisource Asset Management Corp,0.01
EMAN,eMagin Corp,0.01
GFN,General Finance Corp,0.01
PQ,PetroQuest Energy Inc,0.01
VSTM,Verastem Inc,0.01
MRIN,Marin Software Inc,0.01
ZN,Zion Oil & Gas Inc,0.01
PFBX,Peoples Financial Corp/MS,0.01
SSI,Stage Stores Inc,0.01
DXYN,Dixie Group Inc,0.01
GRIF,Griffin Industrial Realty Inc,0.01
NNVC,NanoViricides Inc,0.01
ULBI,Ultralife Corp,0.01
SPNE,SeaSpine Holdings Corp,0.01
APT,Alpha Pro Tech Ltd,0.01
INOD,Innodata Inc,0.01
SBBP,STRONGBRIDGE BIOPHARMA,0.01
MFRI,MFRI Inc,0.01
OVAS,OvaScience Inc,0.01
NTIP,NETWORK TECHNOLOGIES INC,0.01
LWAY,Lifeway Foods Inc,0.01
EIGR,EIGER BIOPHARMACEUTICALS INC,0.01
PBIP,Prudential Bancorp Inc,0.01
VRML,Vermillion Inc,0.01
FLL,Full House Resorts Inc,0.01
TROV,Trovagene Inc,0.01
KONA,Kona Grill Inc,0.01
OBLN,OBALON THERAPEUTICS INC,0.01
INFU,INFUSYSTEM HOLDINGS INC,0.01
ARKR,Ark Restaurants Corp,0.01
AVGR,Avinger Inc,0.01
DRNA,Dicerna Pharmaceuticals Inc,0.01
PRTS,US Auto Parts Network Inc,0.01
RGLS,Regulus Therapeutics Inc,0.01
IIN,IntriCon Corp,0.01
EVOL,Evolving Systems Inc,0.01
PGLC,PERSHING GOLD CORP,0.01
LRAD,LRAD Corp,0.01
FSAM,Fifth Street Asset Management Inc,0.01
NDLS,Noodles & Co,0.01
PTSI,PAM Transportation Services Inc,0.01
FRSH,Papa Murphy's Holdings Inc,0.01
CLIR,ClearSign Combustion Corp,0.01
CVO,Cenveo Inc,0.01
IO,ION Geophysical Corp,0.01
FLKS,Flex Pharma Inc,0.01
LOAN,Manhattan Bridge Capital Inc,0.01
UNXL,Uni-Pixel Inc,0.01
REED,Reed's Inc,0.01
CYTR,CytRx Corp,0.01
ISSC,Innovative Solutions & Support Inc,0.01
NLST,Netlist Inc,0.01
VRAY,VIEWRAY INC,0.01
BIOL,Biolase Inc,0.01
IEC,IEC Electronics Corp,0.01
MNDO,Mind CTI Ltd,0.01
TCON,Tracon Pharmaceuticals Inc,0.01
TLF,Tandy Leather Factory Inc,0.01
CLUB,Town Sports International Holdings Inc,0.01
SNMX,Senomyx Inc,0.01
FLGT,FULGENT GENETICS INC,0.01
RESN,Resonant Inc,0.01
AMPE,Ampio Pharmaceuticals Inc,0.01
FCEL,FuelCell Energy Inc,0.01
ASFI,Asta Funding Inc,0.01
TNDM,Tandem Diabetes Care Inc,0.01
RCMT,RCM Technologies Inc,0.01
EDUC,Educational Development Corp,0.01
NL,NL Industries Inc,0.01
TGEN,Tecogen Inc,0.01
NAUH,National American University Holdings Inc,0.01
RWC,RELM Wireless Corp,0.01
CBR,Ciber Inc,0.01
MTEX,Mannatech Inc,0.01
ESTE,Earthstone Energy Inc,0.01
JCS,Communications Systems Inc,0.01
IRMD,iRadimed Corp,0.01
GEC,GREAT ELM CAPITAL GROUP INC,0.01
ELMD,Electromed Inc,0.01
APDN,Applied DNA Sciences Inc,0.01
CBK,Christopher & Banks Corp,0.01
SITO,SITO MOBILE LTD,0.01
GTIM,Good Times Restaurants Inc,0.01
NVLS,Nivalis Therapeutics Inc,0.01
ARCW,ARC Group Worldwide Inc,0.01
CNFR,CONIFER HOLDINGS INC,0.01
SHOS,Sears Hometown and Outlet Stores Inc,0.01
JYNT,Joint Corp,0.01
WKHS,WORKHORSE GROUP INC,0.01
UWN,Nevada Gold & Casinos Inc,0.01
TDW,Tidewater Inc,0.01
MIRN,MIRNA THERAPEUTICS INC,0.0
PN,Patriot National Inc,0.0
PRSS,CafePress Inc,0.0
RPRX,Repros Therapeutics Inc,0.0
JASN,Jason Industries Inc,0.0
DMTX,DIMENSION THERAPEUTICS INC,0.0
GLA,GLASSBRIDGE ENTERPRISES,0.0
PTIE,Pain Therapeutics Inc,0.0
SIF,SIFCO Industries Inc,0.0
SAUC,Diversified Restaurant Holdings Inc,0.0
ATOM,ATOMERA INC,0.0
AVIR,AVIRAGEN THERAPEUTICS INC,0.0
IMI,Intermolecular Inc,0.0
OCX,ONCOCYTE CORP,0.0
BBGI,Beasley Broadcast Group Inc,0.0
VTNR,Vertex Energy Inc,0.0
FAC,First Acceptance Corp,0.0
ADK,AdCare Health Systems Inc,0.0
UNIS,Unilife Corp,0.0
OHRP,Ohr Pharmaceutical Inc,0.0
PULM,Pulmatrix Inc,0.0
DAVE,Famous Dave's of America Inc,0.0
HEAR,Turtle Beach Corp,0.0
PRKR,ParkerVision Inc,0.0
ASTC,Astrotech Corp,0.0
MRNS,Marinus Pharmaceuticals Inc,0.0
EVOK,Evoke Pharma Inc,0.0
CPST,Capstone Turbine Corp,0.0
QUMU,Qumu Corp,0.0
MRAM,EVERSPIN TECHNOLOGIES INC,0.0
FTEK,Fuel Tech Inc,0.0
MARA,Marathon Patent Group Inc,0.0
ARGS,Argos Therapeutics Inc,0.0
VICL,Vical Inc,0.0
XPLR,Xplore Technologies Corp,0.0
NAO,Nordic American Offshore Ltd,0.0
DPRX,Dipexium Pharmaceuticals Inc,0.0
MBRX,MOLECULIN BIOTECH INC,0.0
ORPN,Bio Blast Pharma Ltd,0.0
DSKX,DS Healthcare Group Inc,0.0
GLF,Gulfmark Offshore Inc,0.0
PERF,Perfumania Holdings Inc,0.0
ESES,Eco-Stim Energy Solutions Inc,0.0
LINK,INTERLINK ELECTRONICS INC,0.0
AXR,AMREP Corp,0.0
NADL,North Atlantic Drilling Ltd,0.0
GLBR,GLOBAL BROKERAGE INC CLASS A,0.0
EYEG,EYEGATE PHARMACEUTICALS INC,0.0
ARIS,ARI Network Services Inc,0.0
RKDA,Arcadia Biosciences Inc,0.0
STLY,Stanley Furniture Co Inc,0.0
GALE,Galena Biopharma Inc,0.0
TPHS,TRINITY PLACE HOLDINGS INC DUMMY,0.0
-,BASIC ENERGY SERVICES INC,0.0
ADLR,ADOLOR CORP CONTINGENT PAYMENT RTS,0.0
1431619D,BAGGER DAVES BURGER TAVERN INC,0.0
-,AMERICAN MEDICAL ALERT CORP ESCROW,0.0
-,ICONIX BRAND GROUP CONTINGENT SHAR,0.0
MTSI,M/A-COM Technology Solutions Holdings Inc,0.0
GRB,GERBER SCIENTIFIC ESCROW,0.0
GMAN,Gordmans Stores Inc,0.0
BAS,Basic Energy Services Inc,0.0
EVBS,Eastern Virginia Bankshares Inc,0.0
CLSN,Celsion Corp,0.0
CATB,Catabasis Pharmaceuticals Inc,0.0
FNJN,Finjan Holdings Inc,0.0
JRJR,JRJR33 INC,0.0
RTK,Rentech Inc,0.0
DDE,Dover Downs Gaming & Entertainment Inc,0.0
PBIB,Porter Bancorp Inc,0.0
TISA,Top Image Systems Ltd,0.0
MLSS,MILESTONE SCIENTIFIC INC,0.0
CDNA,CareDx Inc,0.0
CAPR,Capricor Therapeutics Inc,0.0
CASI,CASI Pharmaceuticals Inc,0.0
LOV,Spark Networks Inc,0.0
ARL,American Realty Investors Inc,0.0
ONCS,OncoSec Medical Inc,0.0
EYES,Second Sight Medical Products Inc,0.0
TWMC,Trans World Entertainment Corp,0.0
ANTH,Anthera Pharmaceuticals Inc,0.0
TNXP,Tonix Pharmaceuticals Holding Corp,0.0
FCSC,Fibrocell Science Inc,0.0
RVP,Retractable Technologies Inc,0.0
BONT,Bon-Ton Stores Inc,0.0
FALC,FalconStor Software Inc,0.0
TKAI,Tokai Pharmaceuticals Inc,0.0
AMTX,Aemetis Inc,0.0
RAVE,Rave Restaurant Group Inc,0.0
ABIO,ARCA biopharma Inc,0.0
PRTO,Proteon Therapeutics Inc,0.0
DLHC,DLH Holdings Corp,0.0
ALQA,Alliqua BioMedical Inc,0.0
TENX,Tenax Therapeutics Inc,0.0
PVBC,Provident Bancorp Inc,0.0
ZDGE,ZEDGE INC CLASS B,0.0
IZEA,IZEA INC,0.0
MXPT,MaxPoint Interactive Inc,0.0
FUNC,First United Corp,0.0
ADMA,ADMA Biologics Inc,0.0
IOTS,ADESTO TECHNOLOGIES CORP,0.0
DVD,Dover Motorsports Inc,0.0
EEI,Ecology and Environment Inc,0.0
SUNW,SUNWORKS INC,0.0
AGLE,AEGLEA BIOTHERAPEUTICS INC,0.0
EFOI,Energy Focus Inc,0.0
CHMA,Chiasma Inc,0.0
FHCO,Female Health Co,0.0
SELF,GLOBAL SELF STORAGE INC,0.0
IMMY,Imprimis Pharmaceuticals Inc,0.0
PESI,Perma-Fix Environmental Services,0.0
PFIE,Profire Energy Inc,0.0
FENX,Fenix Parts Inc,0.0
AEMD,Aethlon Medical Inc,0.0
REFR,Research Frontiers Inc,0.0
AGRX,Agile Therapeutics Inc,0.0
PSIX,Power Solutions International Inc,0.0
WSTL,Westell Technologies Inc,0.0
CYTX,Cytori Therapeutics Inc,0.0
CGIX,Cancer Genetics Inc,0.0
WCST,WECAST NETWORK INC,0.0
CIZN,Citizens Holding Co,0.0
DZSI,DASAN ZHONE SOLUTIONS INC,0.0
VNCE,Vince Holding Corp,0.0
IPWR,Ideal Power Inc,0.0
UNTY,Unity Bancorp Inc,0.0
PIH,1347 Property Insurance Holdings Inc,0.0
AIRG,AIRGAIN INC,0.0
EGAN,eGain Corp,0.0
ENG,ENGlobal Corp,0.0
ITEK,Inotek Pharmaceuticals Corp,0.0
INTX,Intersections Inc,0.0
HSON,Hudson Global Inc,0.0
NOVN,NOVAN INC,0.0
